latitude,longitude,api
6093625.9210395375,-11441343.904188225,33053069940000
6093626.087147838,-11441366.613364346,33053069950000
6093626.253256138,-11441389.322540468,33053069960000
6093626.419364447,-11441412.03171659,33053069970000
6093626.585472757,-11441434.852212204,33053069980000
6093626.751581072,-11441457.561388325,33053069990000
6093626.917689389,-11441480.270564446,33053070000000
6093648.677906626,-11441325.870430717,33053070010000
6093648.844015367,-11441348.579606837,33053070020000
6093649.010124111,-11441371.288782962,33053070030000
6093649.010124111,-11441393.997959083,33053070040000
6093649.1762328595,-11441416.707135204,33053070050000
6093649.34234161,-11441439.416311326,33053070060000
6093649.508450364,-11441462.125487449,33053070070000
6093649.674559121,-11441484.94598306,33053070080000
6093614.625682629,-11442280.65770325,33053070140000
6096145.655018915,-11437586.314776499,33053070180000
6096170.744765245,-11437590.99019511,33053070190000
6096144.325762874,-11437568.1696995,33053070200000
6096169.249347849,-11437572.622479131,33053070210000
6096144.325762874,-11437545.460523378,33053070220000
6096169.415505326,-11437549.913303008,33053070230000
6096169.415505326,-11437527.092807395,33053070240000
6096170.744765245,-11437500.042171134,33053070250000
6096170.744765245,-11437454.62381889,33053070260000
6096170.744765245,-11437431.914642766,33053070270000
6096145.655018915,-11437404.530048033,33053071560000
6096170.744765245,-11437409.205466647,33053071570000
6105389.622597676,-11442324.07230466,33053071610000
6105366.668264307,-11442335.649531703,33053071620000
6105388.957253818,-11442346.78148078,33053071630000
6105366.16925774,-11442358.358707823,33053071640000
6105388.957253818,-11442369.601976395,33053071650000
6105369.163297567,-11442382.8489958,33053071660000
6105391.452293557,-11442394.09226437,33053071670000
6105367.333606439,-11442428.378667533,33053071680000
6100599.983930495,-11439939.83145085,33053072030000
6100599.81768729,-11439962.65194646,33053072040000
6100599.81768729,-11439985.361122584,33053072050000
6100599.81768729,-11440008.070298705,33053072060000
6100599.651444089,-11440030.779474827,33053072070000
6100599.651444089,-11440053.59997044,33053072080000
6100631.57019762,-11440080.984565174,33053072090000
6100631.57019762,-11440058.275389053,33053072100000
6100631.57019762,-11440035.454893442,33053072110000
6100631.736441435,-11440012.745717319,33053072120000
6100631.736441435,-11439990.036541197,33053072130000
6100631.736441435,-11439967.327365076,33053072140000
6100625.419178595,-11442290.787776913,33053073320000
6100630.0740033975,-11442268.523878755,33053073330000
6100630.738978572,-11442245.814702632,33053073340000
6100631.902685258,-11442200.285030898,33053073350000
6100632.567660576,-11442177.575854776,33053073360000
6100633.232635949,-11442154.866678653,33053073370000
6100602.643822191,-11442295.240556544,33053073460000
6100607.132391303,-11442272.976658385,33053073470000
6100608.961068283,-11442204.73781053,33053073480000
6100604.472498216,-11442181.583356444,33053073490000
6100627.912834425,-11441683.762593616,33053073580000
6100628.079078173,-11441661.053417495,33053073590000
6100628.41156568,-11441638.344241373,33053073600000
6100629.076540727,-11441616.414301688,33053073610000
6100650.189525296,-11441724.83948572,33053073620000
6100650.522013659,-11441702.018990105,33053073630000
6100638.219952868,-11441679.755091948,33053073640000
6100638.718684722,-11441656.934596336,33053073650000
6100639.217416599,-11441634.225420214,33053073660000
6100651.519478819,-11441611.070966128,33053073670000
6100607.7973647015,-11442250.267482264,33053073740000
6100608.462338158,-11442227.55830614,33053073750000
6100610.29101542,-11442159.319458285,33053073760000
6100925.660545369,-11440543.739688404,33053073800000
6100925.161796851,-11440566.560184015,33053073810000
6100924.829297855,-11440589.269360136,33053073820000
6100924.330549389,-11440611.97853626,33053073830000
6100949.93300816,-11440585.150538977,33053073840000
